Repository,Language,Stars,Last Updated,Description
owainlewis/awesome-artificial-intelligence,Unknown,11114,2025-01-06,"A curated list of Artificial Intelligence (AI) courses, books, video lectures and papers."
Shubhamsaboo/awesome-llm-apps,Python,11092,2025-01-06,"Collection of awesome LLM apps with RAG using OpenAI, Anthropic, Gemini and opensource models."
JStumpp/awesome-android,Unknown,11087,2025-01-06,A curated list of awesome Android packages and resources.
Heapy/awesome-kotlin,Kotlin,11068,2025-01-06,A curated list of awesome Kotlin related stuff Inspired by awesome-java. 
EmbraceAGI/awesome-chatgpt-zh,Python,10939,2025-01-06,ChatGPT 中文指南🔥，ChatGPT 中文调教指南，指令指南，应用开发指南，精选资源清单，更好的使用 chatGPT 让你的生产力 up up up! 🚀
kautukkundan/Awesome-Profile-README-templates,JavaScript,10862,2025-01-06,A collection of awesome readme templates to display on your profile
kjw0612/awesome-deep-vision,Unknown,10855,2025-01-06,A curated list of deep learning resources for computer vision 
birobirobiro/awesome-shadcn-ui,Unknown,10840,2025-01-06,A curated list of awesome things related to shadcn/ui.
theanalyst/awesome-distributed-systems,Unknown,10812,2025-01-05,A curated list to learn about distributed systems
bnb/awesome-hyper,Unknown,10755,2025-01-04,"🖥 Delightful Hyper plugins, themes, and resources"
mrgloom/awesome-semantic-segmentation,Unknown,10573,2025-01-06,:metal: awesome-semantic-segmentation
unicodeveloper/awesome-nextjs,Unknown,10481,2025-01-06,":notebook_with_decorative_cover: :books: A curated list of awesome resources : books, videos, articles about using Next.js (A minimalistic framework for universal server-rendered React applications) "
jobbole/awesome-cpp-cn,Unknown,10254,2025-01-06,C++ 资源大全中文版，标准库、Web应用框架、人工智能、数据库、图片处理、机器学习、日志、代码分析等。由「开源前哨」和「CPP开发者」微信公号团队维护更新。
dhamaniasad/awesome-postgres,Unknown,10156,2025-01-05,"A curated list of awesome PostgreSQL software, libraries, tools and resources, inspired by awesome-mysql"
aishwaryanr/awesome-generative-ai-guide,Unknown,10057,2025-01-06,"A one stop repository for generative AI research updates, interview resources, notebooks and much more!"
mezod/awesome-indie,Unknown,10027,2025-01-06,Resources for independent developers to make money
ashishps1/awesome-low-level-design,Java,9977,2025-01-06,Learn Low Level Design (LLD) and prepare for interviews using free resources.
apsdehal/awesome-ctf,JavaScript,9974,2025-01-06,"A curated list of CTF frameworks, libraries, resources and softwares"
rehooks/awesome-react-hooks,Unknown,9930,2025-01-04,Awesome React Hooks
Kristories/awesome-guidelines,JavaScript,9914,2025-01-05,A curated list of high quality coding style conventions and standards.
madd86/awesome-system-design,Unknown,9865,2025-01-06,A curated list of awesome System Design (A.K.A. Distributed Systems) resources. 
zhuima/awesome-cloudflare,Unknown,9772,2025-01-06,"⛅️ 精选的 Cloudflare 工具、开源项目、指南、博客和其他资源列表。/ ⛅️ A curated list of Cloudflare tools, open source projects, guides, blogs and other resources."
wsvincent/awesome-django,Python,9734,2025-01-05,A curated list of awesome things related to Django
oz123/awesome-c,Unknown,9612,2025-01-06,"A curated list of awesome C frameworks, libraries, resources and other shiny things. Inspired by all the other awesome-... projects out there."
PatrickJS/awesome-angular,HTML,9579,2025-01-06,:page_facing_up: A curated list of awesome Angular resources
pingcap/awesome-database-learning,Unknown,9565,2025-01-06,A list of learning materials to understand databases internals
toutiaoio/awesome-architecture,Unknown,9528,2025-01-05,架构师技术图谱，助你早日成为架构师
webpro/awesome-dotfiles,Unknown,9389,2025-01-06,A curated list of dotfiles resources.
rossant/awesome-math,Python,9182,2025-01-06,A curated list of awesome mathematics resources
opendigg/awesome-github-wechat-weapp,Unknown,9077,2025-01-06,微信小程序开源项目库汇总
lauris/awesome-scala,Python,9061,2025-01-05,"A community driven list of useful Scala libraries, frameworks and software."
aalhour/awesome-compilers,Unknown,9050,2025-01-06,":sunglasses: Curated list of awesome resources on Compilers, Interpreters and Runtimes"
CodingDocs/awesome-java,Unknown,8982,2025-01-06,Collection of awesome Java project on Github(非常棒的 Java 开源项目集合).
mbasso/awesome-wasm,Unknown,8963,2025-01-06,😎 Curated list of awesome things regarding the WebAssembly (wasm) ecosystem.
fenixsoft/awesome-fenix,Vue,8949,2025-01-06,讨论如何构建一套可靠的大型分布式系统
mjhea0/awesome-fastapi,Unknown,8915,2025-01-06,A curated list of awesome things related to FastAPI
AdrienTorris/awesome-blazor,Unknown,8912,2025-01-06,"Resources for Blazor, a .NET web framework using C#/Razor and HTML that runs in the browser with WebAssembly."
